date_bldg_,time_bldg_,bldg_condi,date_bld_2,time_bld_2,date_bld_3,time_bld_3,bldg_id,bldg_name1,bldg_name2,bldg_sq_fo,bldg_statu,cdb_city_i,comments,date_condi,time_condi,create_use,date_demol,time_demol,date_edit_,time_edit_,edit_sourc,edit_useri,f_add1,footprint_,harris_str,label_hous,no_of_unit,no_stories,non_standa,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,shape_area,shape_len,st_name1,st_type1,stories,suf_dir1,t_add1,unit_name,vacancy_st,x_coord,y_coord,year_built,z_coord,xcoord,ycoord
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,814262.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,PARKING GARAGE,,,,,,2002-12-20,08:00:00.000,FIELDWORK,LGP,57.0000000000000000000000000000000,AERIALS98,,"57",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,814262.0000000000000000000000000000000,E,,,,,6210.0000000000000000000000000000000,362.1203419270000267715658992528915,WACKER,PL,2.0000000000000000000000000000000,,57.0000000000000000000000000000000,,,1176914.6489924699999392032623291015625,1902040.8746393900364637374877929687500,0.0000000000000000000000000000000,0.0000000000000000000000000000000,448082.607007905,4637366.29142483
2002-12-20,08:00:00.000,SOUND,2002-12-20,08:00:00.000,,,814557.0000000000000000000000000000000,UNISOURCE SYS,,67600.0000000000000000000000000000000,ACTIVE,,,2002-11-01,08:00:00.000,,,,2002-12-20,08:00:00.000,FIELDWORK,DU,10.0000000000000000000000000000000,AERIALS98,"01709462009000","10",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,356148.0000000000000000000000000000000,N,2005-01-20,08:00:00.000,ASSESS2002,DS01228,7362.5000000000000000000000000000000,345.0052630120000003444147296249866,DEARBORN,ST,10.0000000000000000000000000000000,,10.0000000000000000000000000000000,,,1175866.8650418599136173725128173828125,1900528.4055036199279129505157470703125,1925.0000000000000000000000000000000,0.0000000000000000000000000000000,447756.190044075,4636911.12985369
1998-04-01,08:00:00.000,SOUND,1998-04-01,08:00:00.000,,,372486.0000000000000000000000000000000,,,4076.0000000000000000000000000000000,ACTIVE,,,2001-10-01,07:00:00.000,,,,2002-12-20,08:00:00.000,SANBORN_MAP,MML,1301.0000000000000000000000000000000,AERIALS98,"01721213006000","1301",1.0000000000000000000000000000000,0.0000000000000000000000000000000,,372486.0000000000000000000000000000000,S,2003-06-16,07:00:00.000,PARCELS,DS06284,1740.7500000000000000000000000000000,196.1169402689999969879863783717155,FEDERAL,ST,2.0000000000000000000000000000000,,1301.0000000000000000000000000000000,,,1176030.7415101800579577684402465820312,1894383.6832813599612563848495483398438,1989.0000000000000000000000000000000,0.0000000000000000000000000000000,447775.844717992,4635039.4453525
2002-12-20,08:00:00.000,,2002-12-20,08:00:00.000,,,814302.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2002-12-20,08:00:00.000,FIELDWORK,AJF,40.0000000000000000000000000000000,AERIALS98,,"40",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,352492.0000000000000000000000000000000,W,,,,,27670.8750000000000000000000000000000,788.7666937300000427057966589927673,LAKE,ST,3.0000000000000000000000000000000,,40.0000000000000000000000000000000,,,1176067.2978591199498623609542846679688,1901861.8684665600303560495376586914062,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447826.09110176,4637313.22422015
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,350125.0000000000000000000000000000000,BRASSERIE JO,,0.0000000000000000000000000000000,ACTIVE,,SPLIT- GAVE 59-61 ADDRESS,,,,,,2002-12-20,08:00:00.000,FIELDWORK,KSR,59.0000000000000000000000000000000,AERIALS98,,"59",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,350125.0000000000000000000000000000000,W,,,,,8194.8750000000000000000000000000000,363.5587512910000214105821214616299,HUBBARD,ST,2.0000000000000000000000000000000,,61.0000000000000000000000000000000,,,1175664.9093506899662315845489501953125,1903221.4950097599066793918609619140625,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447707.436442688,4637732.47002073
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,368617.0000000000000000000000000000000,COMED TRANSFER YARD BLDG,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2002-12-20,08:00:00.000,SANBORN_MAP,MML,0.0000000000000000000000000000000,AERIALS98,,"0",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,368617.0000000000000000000000000000000,,,,,,2333.2500000000000000000000000000000,193.2568431770000074720883276313543,,,0.0000000000000000000000000000000,,0.0000000000000000000000000000000,,,1173809.5166704400908201932907104492188,1896189.5320467799901962280273437500000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447109.007870885,4635599.86988234
1998-04-01,08:00:00.000,SOUND,1998-04-01,08:00:00.000,,,372853.0000000000000000000000000000000,,,3077.0000000000000000000000000000000,ACTIVE,,,2001-10-01,07:00:00.000,,,,2002-12-20,08:00:00.000,SANBORN_MAP,MML,1324.0000000000000000000000000000000,AERIALS98,"01721213047000","1324",1.0000000000000000000000000000000,0.0000000000000000000000000000000,,372853.0000000000000000000000000000000,S,2003-06-16,07:00:00.000,PARCELS,DS06284,2120.5000000000000000000000000000000,205.0743120150000038393045542761683,PLYMOUTH,CT,2.0000000000000000000000000000000,,1324.0000000000000000000000000000000,,,1176141.7430606600828468799591064453125,1894174.1277258000336587429046630859375,1991.0000000000000000000000000000000,0.0000000000000000000000000000000,447809.224648359,4634975.54868514
2002-12-20,08:00:00.000,SOUND,2002-12-20,08:00:00.000,,,814705.0000000000000000000000000000000,,,4600.0000000000000000000000000000000,ACTIVE,,,2001-07-01,07:00:00.000,,,,2002-12-20,08:00:00.000,FIELDWORK,SAS,608.0000000000000000000000000000000,AERIALS98,"01716106019000","608",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,358399.0000000000000000000000000000000,W,2005-01-20,08:00:00.000,ASSESS2002,DS01228,3259.3750000000000000000000000000000,324.5649720370000181901559699326754,ADAMS,ST,2.0000000000000000000000000000000,,608.0000000000000000000000000000000,,,1172224.2056251401081681251525878906250,1899461.7172320000827312469482421875000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,446641.647315785,4636603.09602578
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,360681.0000000000000000000000000000000,GATEWAY CENTER IV,300 SOUTH RIVERSIDE PLAZA,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2007-02-14,08:00:00.000,SKYSCRAPERS.COM,DS01228,420.0000000000000000000000000000000,AERIALS98,,"420",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,360681.0000000000000000000000000000000,W,,,,,51169.8750000000000000000000000000000,1085.2254446800000096118310466408730,VAN BUREN,ST,22.0000000000000000000000000000000,,420.0000000000000000000000000000000,,,1173474.3157411599531769752502441406250,1898713.0814295099116861820220947265625,1983.0000000000000000000000000000000,0.0000000000000000000000000000000,447022.263282392,4636363.88347893
2002-12-20,08:00:00.000,SOUND,2002-12-20,08:00:00.000,,,814815.0000000000000000000000000000000,CHICAGO BAR ASSOCIATION,,110500.0000000000000000000000000000000,ACTIVE,,,2002-11-01,08:00:00.000,,,,2002-12-20,08:00:00.000,FIELDWORK,HAG,321.0000000000000000000000000000000,AERIALS98,"01716235027000","321",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,360411.0000000000000000000000000000000,S,,,,,6752.8750000000000000000000000000000,332.7057320440000012240489013493061,PLYMOUTH,CT,17.0000000000000000000000000000000,,321.0000000000000000000000000000000,,,1176214.7696249000728130340576171875000,1898784.3900714800693094730377197265625,1990.0000000000000000000000000000000,0.0000000000000000000000000000000,447853.938787683,4636378.64558259
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,365859.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2007-02-14,08:00:00.000,FIELDWORK,DS01228,714.0000000000000000000000000000000,AERIALS98,,"714",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,365859.0000000000000000000000000000000,S,,,,,2900.5000000000000000000000000000000,218.6684092369999916627421043813229,DEARBORN,ST,9.0000000000000000000000000000000,,714.0000000000000000000000000000000,,,1175964.5105068199336528778076171875000,1897110.7234048200771212577819824218750,1949.0000000000000000000000000000000,0.0000000000000000000000000000000,447769.824861622,4635870.36769039
