left,top,right,bottom,id,long,lat
-87.8901140825234819,41.9730385861475881,-87.8401140825234847,42.0230385861475852,10,-87.8901140000,41.9730385800
-87.8401140825234847,41.9730385861475881,-87.7901140825234876,42.0230385861475852,18,-87.8401140000,41.9730385800
-87.7901140825234734,41.9730385861475881,-87.7401140825234762,42.0230385861475852,26,-87.7901140000,41.9730385800
-87.7901140825234734,41.9230385861475838,-87.7401140825234762,41.9730385861475810,27,-87.7901140000,41.9230385800
-87.7401140825234762,41.9730385861475881,-87.6901140825234791,42.0230385861475852,34,-87.7401140000,41.9730385800
-87.7401140825234762,41.9230385861475838,-87.6901140825234791,41.9730385861475810,35,-87.7401140000,41.9230385800
-87.7401140825234762,41.8730385861475867,-87.6901140825234791,41.9230385861475838,36,-87.7401140000,41.8730385800
-87.7401140825234762,41.7730385861475852,-87.6901140825234791,41.8230385861475824,38,-87.7401140000,41.7730385800
-87.6901140825234791,41.9730385861475881,-87.6401140825234819,42.0230385861475852,42,-87.6901140000,41.9730385800
-87.6901140825234791,41.9230385861475838,-87.6401140825234819,41.9730385861475810,43,-87.6901140000,41.9230385800
-87.6901140825234791,41.8730385861475867,-87.6401140825234819,41.9230385861475838,44,-87.6901140000,41.8730385800
-87.6901140825234791,41.8230385861475824,-87.6401140825234819,41.8730385861475796,45,-87.6901140000,41.8230385800
-87.6901140825234791,41.7730385861475852,-87.6401140825234819,41.8230385861475824,46,-87.6901140000,41.7730385800
-87.6401140825234819,41.9230385861475838,-87.5901140825234847,41.9730385861475810,51,-87.6401140000,41.9230385800
-87.6401140825234819,41.8730385861475867,-87.5901140825234847,41.9230385861475838,52,-87.6401140000,41.8730385800
-87.6401140825234819,41.8230385861475824,-87.5901140825234847,41.8730385861475796,53,-87.6401140000,41.8230385800
-87.6401140825234819,41.7730385861475852,-87.5901140825234847,41.8230385861475824,54,-87.6401140000,41.7730385800
-87.6401140825234819,41.7230385861475881,-87.5901140825234847,41.7730385861475852,55,-87.6401140000,41.7230385800
-87.6401140825234819,41.6730385861475838,-87.5901140825234847,41.7230385861475810,56,-87.6401140000,41.6730385800
-87.5901140825234847,41.7730385861475852,-87.5401140825234876,41.8230385861475824,62,-87.5901140000,41.7730385800
-87.5901140825234847,41.7230385861475881,-87.5401140825234876,41.7730385861475852,63,-87.5901140000,41.7230385800
-87.5901140825234847,41.6730385861475838,-87.5401140825234876,41.7230385861475810,64,-87.5901140000,41.6730385800
-87.5401140825234734,41.7230385861475881,-87.4901140825234762,41.7730385861475852,71,-87.5401140000,41.7230385800
-87.5401140825234734,41.6730385861475838,-87.4901140825234762,41.7230385861475810,72,-87.5401140000,41.6730385800
