Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0.005412719891745603,0.005412719891745603,0.005412719891745603,0.005412719891745603,0.005412719891745603,0.016666666666666666,0.016666666666666666
0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0,0.0
0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0013531799729364006,0.0,0.0
0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0027063599458728013,0.0,0.0
0.006765899864682003,0.006765899864682003,0.006765899864682003,0.006765899864682003,0.006765899864682003,0.016666666666666666,0.016666666666666666
0.02165087956698241,0.02165087956698241,0.02165087956698241,0.02165087956698241,0.02165087956698241,0.0,0.0
0.012178619756427604,0.012178619756427604,0.012178619756427604,0.012178619756427604,0.012178619756427604,0.1,0.1
0.02435723951285521,0.02435723951285521,0.02435723951285521,0.02435723951285521,0.02435723951285521,0.016666666666666666,0.016666666666666666
0.02706359945872801,0.02706359945872801,0.02706359945872801,0.02706359945872801,0.02706359945872801,0.06666666666666667,0.06666666666666667
0.06089309878213803,0.06089309878213803,0.06089309878213803,0.06089309878213803,0.06089309878213803,0.08333333333333333,0.08333333333333333
0.07848443843031123,0.07848443843031123,0.07848443843031123,0.07848443843031123,0.07848443843031123,0.05,0.05
0.046008119079837616,0.046008119079837616,0.046008119079837616,0.046008119079837616,0.046008119079837616,0.05,0.05
0.06359945872801083,0.06359945872801083,0.06359945872801083,0.06359945872801083,0.06359945872801083,0.1,0.1
0.11231393775372124,0.11231393775372124,0.11231393775372124,0.11231393775372124,0.11231393775372124,0.1,0.1
0.18403247631935046,0.18403247631935046,0.18403247631935046,0.18403247631935046,0.18403247631935046,0.0,0.0
0.17997293640054127,0.17997293640054127,0.17997293640054127,0.17997293640054127,0.17997293640054127,0.08333333333333333,0.08333333333333333
0.07577807848443843,0.07577807848443843,0.07577807848443843,0.07577807848443843,0.07577807848443843,0.05,0.05
0.035182679296346414,0.035182679296346414,0.035182679296346414,0.035182679296346414,0.035182679296346414,0.06666666666666667,0.06666666666666667
0.016238159675236806,0.016238159675236806,0.016238159675236806,0.016238159675236806,0.016238159675236806,0.05,0.05
0.017591339648173207,0.017591339648173207,0.017591339648173207,0.017591339648173207,0.017591339648173207,0.05,0.05
0.017591339648173207,0.017591339648173207,0.017591339648173207,0.017591339648173207,0.017591339648173207,0.03333333333333333,0.03333333333333333
0.006765899864682003,0.006765899864682003,0.006765899864682003,0.006765899864682003,0.006765899864682003,0.06666666666666667,0.06666666666666667
